Index	 Radius (earth)	 P (GPa)	 M (earth)	 Density (g cm^-3)	 T (K)	 Phase
0	 0	 163.2848429007952	 0	 5.791497556789291	 443.380868327271	 Si PPv (Sakai)
1	 2.513904914401337e-05	 163.2848427802648	 1.674424835069154e-14	 5.791497555905371	 443.3808682503388	 Si PPv (Sakai)
2	 2.513904914401337e-05	 163.2848427802648	 1.674424835069154e-14	 5.791497555905372	 443.3808682503388	 Si PPv (Sakai)
3	 2.571943038153628e-05	 163.2848427746352	 1.793094397174257e-14	 5.791497555864087	 443.3808682467456	 Si PPv (Sakai)
4	 2.627473742885222e-05	 163.2848427691286	 1.91176395927936e-14	 5.791497555823703	 443.3808682432308	 Si PPv (Sakai)
5	 2.680751470903359e-05	 163.2848427637348	 2.030433521384462e-14	 5.791497555784148	 443.3808682397881	 Si PPv (Sakai)
6	 2.734691660385949e-05	 163.2848427581636	 2.15548107737831e-14	 5.791497555743293	 443.3808682362321	 Si PPv (Sakai)
7	 2.789664871113396e-05	 163.2848427523716	 2.288101136029851e-14	 5.791497555700817	 443.3808682325352	 Si PPv (Sakai)
8	 2.84573657578673e-05	 163.284842746345	 2.428864030541979e-14	 5.791497555656619	 443.3808682286886	 Si PPv (Sakai)
9	 2.9029344810741e-05	 163.2848427400739	 2.578284381472681e-14	 5.79149755561063	 443.3808682246859	 Si PPv (Sakai)
10	 2.961281931424743e-05	 163.2848427335481	 2.736896575141811e-14	 5.791497555562773	 443.3808682205206	 Si PPv (Sakai)
11	 3.02080212163599e-05	 163.2848427267574	 2.905266315660918e-14	 5.791497555512972	 443.3808682161862	 Si PPv (Sakai)
12	 3.08151863443594e-05	 163.284842719691	 3.083993903488097e-14	 5.791497555461151	 443.3808682116759	 Si PPv (Sakai)
13	 3.143455516582959e-05	 163.2848427123376	 3.273716541453929e-14	 5.791497555407224	 443.3808682069824	 Si PPv (Sakai)
14	 3.206637297001871e-05	 163.2848427046857	 3.475110628846826e-14	 5.791497555351109	 443.3808682020983	 Si PPv (Sakai)
15	 3.271088997490526e-05	 163.284842696723	 3.688894175581181e-14	 5.791497555292713	 443.380868197016	 Si PPv (Sakai)
16	 3.33683614282811e-05	 163.2848426884371	 3.915829362655548e-14	 5.791497555231949	 443.3808681917272	 Si PPv (Sakai)
17	 3.403904770749774e-05	 163.2848426798148	 4.156725259028688e-14	 5.791497555168716	 443.3808681862238	 Si PPv (Sakai)
18	 3.472321442333708e-05	 163.2848426708423	 4.412440706344646e-14	 5.791497555102915	 443.3808681804969	 Si PPv (Sakai)
19	 3.542113252680964e-05	 163.2848426615056	 4.683887381509846e-14	 5.791497555034444	 443.3808681745374	 Si PPv (Sakai)
20	 3.613307841165053e-05	 163.2848426517897	 4.97203304514255e-14	 5.791497554963192	 443.380868168336	 Si PPv (Sakai)
21	 3.685933402809272e-05	 163.2848426416794	 5.277904993426291e-14	 5.791497554889047	 443.3808681618827	 Si PPv (Sakai)
22	 3.760018699358198e-05	 163.2848426311585	 5.602593720286734e-14	 5.791497554811891	 443.3808681551675	 Si PPv (Sakai)
23	 3.835593071153767e-05	 163.2848426202105	 5.947256807487337e-14	 5.791497554731604	 443.3808681481796	 Si PPv (Sakai)
24	 3.912686447461661e-05	 163.284842608818	 6.313123045840386e-14	 5.791497554648055	 443.380868140908	 Si PPv (Sakai)
25	 3.991329359559494e-05	 163.2848425969628	 6.701496821572225e-14	 5.791497554561117	 443.3808681333411	 Si PPv (Sakai)
26	 4.071552952280162e-05	 163.2848425846264	 7.113762764271666e-14	 5.791497554470645	 443.380868125467	 Si PPv (Sakai)
27	 4.15338899648178e-05	 163.284842571789	 7.551390684005346e-14	 5.7914975543765	 443.3808681172732	 Si PPv (Sakai)
28	 4.236869901638081e-05	 163.2848425584304	 8.015940811561746e-14	 5.791497554278535	 443.3808681087467	 Si PPv (Sakai)
29	 4.322028728481627e-05	 163.2848425445294	 8.509069359895879e-14	 5.791497554176591	 443.3808680998739	 Si PPv (Sakai)
