Index	 Radius (earth)	 P (GPa)	 M (earth)	 Density (g cm^-3)	 T (K)	 Phase
0	 0	 467.80913	 0	 14.858264	 3317.4449	 Fe hcp (Smith)
94	 0.00011509561	 467.80911	 4.1226137e-12	 14.858264	 3317.4448	 Fe hcp (Smith)
129	 0.00023096492	 467.80906	 3.3314581e-11	 14.858264	 3317.4447	 Fe hcp (Smith)
150	 0.00035078195	 467.80898	 1.1670999e-10	 14.858263	 3317.4445	 Fe hcp (Smith)
165	 0.00047279469	 467.80885	 2.8576829e-10	 14.858262	 3317.4443	 Fe hcp (Smith)
176	 0.00058848758	 467.8087	 5.5107178e-10	 14.858261	 3317.4439	 Fe hcp (Smith)
185	 0.0007039087	 467.80851	 9.4307283e-10	 14.858259	 3317.4436	 Fe hcp (Smith)
193	 0.00082537621	 467.80828	 1.5203796e-09	 14.858258	 3317.4431	 Fe hcp (Smith)
200	 0.00094873348	 467.808	 2.3090261e-09	 14.858255	 3317.4425	 Fe hcp (Smith)
206	 0.0010690386	 467.8077	 3.3035152e-09	 14.858253	 3317.4418	 Fe hcp (Smith)
212	 0.0012045948	 467.80731	 4.7262748e-09	 14.85825	 3317.441	 Fe hcp (Smith)
217	 0.0013305945	 467.80691	 6.369909e-09	 14.858247	 3317.4402	 Fe hcp (Smith)
222	 0.001469768	 467.80642	 8.5850396e-09	 14.858243	 3317.4391	 Fe hcp (Smith)
226	 0.0015915113	 467.80595	 1.0899964e-08	 14.858239	 3317.4382	 Fe hcp (Smith)
230	 0.0017233326	 467.8054	 1.3838949e-08	 14.858235	 3317.437	 Fe hcp (Smith)
234	 0.0018660644	 467.80476	 1.7570154e-08	 14.85823	 3317.4357	 Fe hcp (Smith)
237	 0.0019808125	 467.8042	 2.1014822e-08	 14.858226	 3317.4345	 Fe hcp (Smith)
240	 0.00210261	 467.80358	 2.5134586e-08	 14.858221	 3317.4332	 Fe hcp (Smith)
243	 0.0022318888	 467.80288	 3.0061669e-08	 14.858215	 3317.4317	 Fe hcp (Smith)
246	 0.0023691067	 467.80208	 3.5954166e-08	 14.858209	 3317.43	 Fe hcp (Smith)
249	 0.0025147496	 467.80119	 4.3001088e-08	 14.858202	 3317.4281	 Fe hcp (Smith)
252	 0.0026693323	 467.80019	 5.1428401e-08	 14.858194	 3317.426	 Fe hcp (Smith)
255	 0.0028334011	 467.79905	 6.1506231e-08	 14.858185	 3317.4236	 Fe hcp (Smith)
257	 0.0029483348	 467.79822	 6.9298721e-08	 14.858179	 3317.4219	 Fe hcp (Smith)
259	 0.0030679211	 467.79732	 7.8077745e-08	 14.858171	 3317.42	 Fe hcp (Smith)
261	 0.0031923472	 467.79634	 8.796804e-08	 14.858164	 3317.4179	 Fe hcp (Smith)
263	 0.0033218076	 467.79528	 9.9110077e-08	 14.858155	 3317.4157	 Fe hcp (Smith)
265	 0.0034565043	 467.79413	 1.1166204e-07	 14.858146	 3317.4133	 Fe hcp (Smith)
267	 0.0035966476	 467.79289	 1.2580206e-07	 14.858137	 3317.4107	 Fe hcp (Smith)
269	 0.0037424557	 467.79155	 1.4173068e-07	 14.858126	 3317.4078	 Fe hcp (Smith)
271	 0.0038941553	 467.79009	 1.5967374e-07	 14.858115	 3317.4048	 Fe hcp (Smith)
273	 0.0040519821	 467.78852	 1.7988545e-07	 14.858102	 3317.4015	 Fe hcp (Smith)
275	 0.0042161808	 467.78682	 2.0265201e-07	 14.858089	 3317.3979	 Fe hcp (Smith)
277	 0.0043870055	 467.78497	 2.2829559e-07	 14.858074	 3317.394	 Fe hcp (Smith)
279	 0.00456472	 467.78297	 2.5717879e-07	 14.858059	 3317.3898	 Fe hcp (Smith)
281	 0.0047495983	 467.78081	 2.8970972e-07	 14.858042	 3317.3852	 Fe hcp (Smith)
283	 0.0049419247	 467.77847	 3.2634764e-07	 14.858023	 3317.3803	 Fe hcp (Smith)
285	 0.0051419943	 467.77594	 3.6760932e-07	 14.858004	 3317.375	 Fe hcp (Smith)
287	 0.005350113	 467.7732	 4.1407617e-07	 14.857982	 3317.3692	 Fe hcp (Smith)
289	 0.0055665985	 467.77023	 4.6640226e-07	 14.857959	 3317.363	 Fe hcp (Smith)
291	 0.0057917798	 467.76702	 5.2532326e-07	 14.857934	 3317.3562	 Fe hcp (Smith)
292	 0.0059077375	 467.76532	 5.5751153e-07	 14.85792	 3317.3526	 Fe hcp (Smith)
293	 0.0060259982	 467.76355	 5.9166655e-07	 14.857906	 3317.3489	 Fe hcp (Smith)
294	 0.0061466063	 467.7617	 6.2790793e-07	 14.857892	 3317.345	 Fe hcp (Smith)
295	 0.0062696072	 467.75979	 6.6636246e-07	 14.857877	 3317.341	 Fe hcp (Smith)
296	 0.0063950472	 467.75779	 7.071646e-07	 14.857861	 3317.3368	 Fe hcp (Smith)
297	 0.0065229733	 467.75572	 7.5045691e-07	 14.857845	 3317.3324	 Fe hcp (Smith)
298	 0.0066534332	 467.75356	 7.9639048e-07	 14.857828	 3317.3278	 Fe hcp (Smith)
299	 0.0067864756	 467.75132	 8.4512554e-07	 14.85781	 3317.3231	 Fe hcp (Smith)
300	 0.00692215	 467.74898	 8.968319e-07	 14.857792	 3317.3182	 Fe hcp (Smith)
301	 0.0070605068	 467.74655	 9.5168958e-07	 14.857773	 3317.3131	 Fe hcp (Smith)
302	 0.007201597	 467.74403	 1.0098894e-06	 14.857753	 3317.3078	 Fe hcp (Smith)
303	 0.0073454729	 467.7414	 1.0716335e-06	 14.857732	 3317.3022	 Fe hcp (Smith)
304	 0.0074921873	 467.73867	 1.1371362e-06	 14.857711	 3317.2965	 Fe hcp (Smith)
305	 0.007641794	 467.73583	 1.2066247e-06	 14.857689	 3317.2905	 Fe hcp (Smith)
306	 0.0077943478	 467.73287	 1.2803395e-06	 14.857665	 3317.2843	 Fe hcp (Smith)
307	 0.0079499041	 467.7298	 1.3585357e-06	 14.857641	 3317.2778	 Fe hcp (Smith)
308	 0.0081085196	 467.7266	 1.4414834e-06	 14.857616	 3317.2711	 Fe hcp (Smith)
309	 0.0082702516	 467.72327	 1.5294689e-06	 14.85759	 3317.2641	 Fe hcp (Smith)
310	 0.0084351583	 467.71982	 1.6227953e-06	 14.857563	 3317.2568	 Fe hcp (Smith)
311	 0.0086032991	 467.71622	 1.7217837e-06	 14.857535	 3317.2492	 Fe hcp (Smith)
312	 0.008774734	 467.71248	 1.8267743e-06	 14.857505	 3317.2413	 Fe hcp (Smith)
313	 0.0089495241	 467.70859	 1.9381272e-06	 14.857475	 3317.2331	 Fe hcp (Smith)
314	 0.0091277313	 467.70455	 2.0562241e-06	 14.857443	 3317.2246	 Fe hcp (Smith)
315	 0.0093094185	 467.70034	 2.1814687e-06	 14.85741	 3317.2158	 Fe hcp (Smith)
316	 0.0094946494	 467.69597	 2.3142887e-06	 14.857376	 3317.2066	 Fe hcp (Smith)
317	 0.0096834889	 467.69143	 2.4551367e-06	 14.85734	 3317.197	 Fe hcp (Smith)
318	 0.0098760025	 467.6867	 2.6044919e-06	 14.857303	 3317.187	 Fe hcp (Smith)
319	 0.010072257	 467.68178	 2.7628616e-06	 14.857264	 3317.1767	 Fe hcp (Smith)
320	 0.010272319	 467.67668	 2.9307823e-06	 14.857224	 3317.1659	 Fe hcp (Smith)
321	 0.010476258	 467.67136	 3.1088219e-06	 14.857182	 3317.1547	 Fe hcp (Smith)
322	 0.010684142	 467.66584	 3.2975814e-06	 14.857139	 3317.1431	 Fe hcp (Smith)
323	 0.010896042	 467.6601	 3.4976961e-06	 14.857094	 3317.131	 Fe hcp (Smith)
324	 0.011112029	 467.65414	 3.7098385e-06	 14.857047	 3317.1185	 Fe hcp (Smith)
325	 0.011332174	 467.64794	 3.9347193e-06	 14.856998	 3317.1054	 Fe hcp (Smith)
326	 0.01155655	 467.64149	 4.1730904e-06	 14.856948	 3317.0918	 Fe hcp (Smith)
327	 0.01178523	 467.63479	 4.4257464e-06	 14.856895	 3317.0777	 Fe hcp (Smith)
328	 0.01201829	 467.62783	 4.6935274e-06	 14.85684	 3317.063	 Fe hcp (Smith)
329	 0.012255803	 467.62059	 4.9773212e-06	 14.856783	 3317.0478	 Fe hcp (Smith)
