Index	 Radius (earth)	 P (GPa)	 M (earth)	 Density (g cm^-3)	 T (K)	 Phase
0	 0	 410.6013233160037	 0	 14.18910976762097	 6199.985754169153	 Fe hcp (Smith)
1	 1.864779229827262e-05	 410.6013229179129	 1.674424835069154e-14	 14.18910976420981	 6199.985752297494	 Fe hcp (Smith)
2	 1.864779229827262e-05	 410.6013229179129	 1.674424835069154e-14	 14.18910976420981	 6199.985752297494	 Fe hcp (Smith)
3	 1.907831091930592e-05	 410.6013228993193	 1.793094397168388e-14	 14.18910976405048	 6199.985752210076	 Fe hcp (Smith)
4	 1.949022985948641e-05	 410.6013228811319	 1.911763959267623e-14	 14.18910976389464	 6199.985752124566	 Fe hcp (Smith)
5	 1.988543653598334e-05	 410.6013228633171	 2.030433521366858e-14	 14.18910976374199	 6199.985752040809	 Fe hcp (Smith)
6	 2.02855572583485e-05	 410.6013228449166	 2.155481077387516e-14	 14.18910976358431	 6199.985751954297	 Fe hcp (Smith)
7	 2.069334078688069e-05	 410.6013228257865	 2.288101136129426e-14	 14.1891097634204	 6199.985751864355	 Fe hcp (Smith)
8	 2.110927278907005e-05	 410.6013228058819	 2.428864030879979e-14	 14.18910976324983	 6199.985751770771	 Fe hcp (Smith)
9	 2.153355878659023e-05	 410.6013227851694	 2.57828438132202e-14	 14.18910976307235	 6199.98575167339	 Fe hcp (Smith)
10	 2.196637194966249e-05	 410.6013227636159	 2.736896575325571e-14	 14.18910976288767	 6199.985751572055	 Fe hcp (Smith)
11	 2.240788433114425e-05	 410.6013227411874	 2.905266315984759e-14	 14.18910976269548	 6199.985751466606	 Fe hcp (Smith)
12	 2.285827086442918e-05	 410.6013227178482	 3.083993903748802e-14	 14.18910976249549	 6199.985751356874	 Fe hcp (Smith)
13	 2.331770992466901e-05	 410.6013226935613	 3.273716541291283e-14	 14.18910976228738	 6199.985751242687	 Fe hcp (Smith)
14	 2.378638346564285e-05	 410.6013226682883	 3.475110628589971e-14	 14.18910976207082	 6199.985751123864	 Fe hcp (Smith)
15	 2.426447709452234e-05	 410.6013226419892	 3.688894175146333e-14	 14.18910976184547	 6199.985751000217	 Fe hcp (Smith)
16	 2.475218015128868e-05	 410.6013226146223	 3.915829362313174e-14	 14.18910976161097	 6199.985750871549	 Fe hcp (Smith)
17	 2.524968577957995e-05	 410.6013225861441	 4.156725258781211e-14	 14.18910976136694	 6199.985750737656	 Fe hcp (Smith)
18	 2.57571910047154e-05	 410.6013225565097	 4.412440705672694e-14	 14.18910976111301	 6199.985750598327	 Fe hcp (Smith)
19	 2.627489681469434e-05	 410.601322525672	 4.683887380022188e-14	 14.18910976084877	 6199.985750453341	 Fe hcp (Smith)
20	 2.680300823647512e-05	 410.6013224935822	 4.972033043505074e-14	 14.1891097605738	 6199.985750302469	 Fe hcp (Smith)
21	 2.734173441616566e-05	 410.6013224601895	 5.277904992042074e-14	 14.18910976028766	 6199.98575014547	 Fe hcp (Smith)
22	 2.789128870497166e-05	 410.601322425441	 5.602593719993317e-14	 14.18910975998991	 6199.985749982096	 Fe hcp (Smith)
23	 2.845188874158723e-05	 410.6013223892815	 5.947256806823169e-14	 14.18910975968006	 6199.98574981209	 Fe hcp (Smith)
24	 2.902375653947728e-05	 410.6013223516538	 6.313123044720401e-14	 14.18910975935764	 6199.985749635181	 Fe hcp (Smith)
25	 2.960711857656207e-05	 410.6013223124984	 6.701496820721923e-14	 14.18910975902213	 6199.985749451088	 Fe hcp (Smith)
26	 3.020220587865862e-05	 410.6013222717532	 7.113762762978356e-14	 14.18910975867298	 6199.985749259521	 Fe hcp (Smith)
27	 3.080925411963019e-05	 410.6013222293536	 7.551390683023888e-14	 14.18910975830967	 6199.985749060175	 Fe hcp (Smith)
28	 3.142850370613467e-05	 410.6013221852324	 8.015940810019358e-14	 14.1891097579316	 6199.985748852736	 Fe hcp (Smith)
29	 3.206019987989324e-05	 410.6013221393198	 8.509069358298305e-14	 14.18910975753819	 6199.985748636874	 Fe hcp (Smith)
30	 3.270459280950353e-05	 410.601322091543	 9.032534428157554e-14	 14.18910975712879	 6199.985748412247	 Fe hcp (Smith)
31	 3.336193769405596e-05	 410.6013220418263	 9.588202277376666e-14	 14.18910975670278	 6199.985748178499	 Fe hcp (Smith)
32	 3.403249485970413e-05	 410.601321990091	 1.017805397113321e-13	 14.18910975625947	 6199.985747935261	 Fe hcp (Smith)
33	 3.471652986719098e-05	 410.601321936255	 1.080419244863152e-13	 14.18910975579816	 6199.985747682147	 Fe hcp (Smith)
34	 3.541431361355862e-05	 410.6013218802332	 1.146885001752397e-13	 14.18910975531812	 6199.985747418756	 Fe hcp (Smith)
35	 3.612612243992957e-05	 410.6013218219367	 1.217439631279094e-13	 14.18910975481859	 6199.985747144669	 Fe hcp (Smith)
36	 3.685223824452139e-05	 410.6013217612733	 1.292334674855251e-13	 14.18910975429877	 6199.985746859455	 Fe hcp (Smith)
37	 3.7592948591101e-05	 410.6013216981466	 1.37183714830971e-13	 14.18910975375785	 6199.985746562659	 Fe hcp (Smith)
38	 3.834854682080176e-05	 410.6013216324569	 1.45623049360999e-13	 14.18910975319497	 6199.985746253813	 Fe hcp (Smith)
39	 3.911933217151296e-05	 410.6013215641	 1.545815589715587e-13	 14.18910975260923	 6199.985745932427	 Fe hcp (Smith)
40	 3.990560989806166e-05	 410.6013214929675	 1.640911825493146e-13	 14.18910975199971	 6199.985745597992	 Fe hcp (Smith)
41	 4.070769138659608e-05	 410.601321418947	 1.741858237624304e-13	 14.18910975136544	 6199.985745249977	 Fe hcp (Smith)
42	 4.152589428589041e-05	 410.6013213419209	 1.849014720303199e-13	 14.18910975070542	 6199.985744887833	 Fe hcp (Smith)
43	 4.236054262654063e-05	 410.6013212617674	 1.962763307512913e-13	 14.1891097500186	 6199.985744510985	 Fe hcp (Smith)
44	 4.321196695391225e-05	 410.6013211783594	 2.083509535648198e-13	 14.18910974930389	 6199.985744118835	 Fe hcp (Smith)
45	 4.408050445744303e-05	 410.6013210915648	 2.211683889145001e-13	 14.18910974856016	 6199.985743710763	 Fe hcp (Smith)
46	 4.496649910220791e-05	 410.6013210012461	 2.347743334944539e-13	 14.18910974778624	 6199.985743286122	 Fe hcp (Smith)
