Index	 Radius (earth)	 P (GPa)	 M (earth)	 Density (g cm^-3)	 T (K)	 Phase
0	 0	 232.3205100836582	 0	 12.84097345018675	 665.6037998322763	 Fe hcp (Smith)
1	 1.927879225350773e-05	 232.3205097351824	 1.674424835069154e-14	 12.84097344623044	 665.6037995485339	 Fe hcp (Smith)
2	 1.927879225350773e-05	 232.3205097351824	 1.674424835069154e-14	 12.84097344623044	 665.6037995485339	 Fe hcp (Smith)
3	 1.972387867034719e-05	 232.3205097189062	 1.793094397157786e-14	 12.84097344604566	 665.6037995352812	 Fe hcp (Smith)
4	 2.014973603436532e-05	 232.3205097029856	 1.911763959246417e-14	 12.84097344586491	 665.6037995223179	 Fe hcp (Smith)
5	 2.055831562874427e-05	 232.3205096873911	 2.030433521335049e-14	 12.84097344568786	 665.6037995096203	 Fe hcp (Smith)
6	 2.097197554953854e-05	 232.3205096712839	 2.155481077383504e-14	 12.84097344550499	 665.6037994965052	 Fe hcp (Smith)
7	 2.13935575679703e-05	 232.320509654538	 2.288101135865121e-14	 12.84097344531487	 665.60379948287	 Fe hcp (Smith)
8	 2.182356378684447e-05	 232.3205096371142	 2.42886403050062e-14	 12.84097344511706	 665.603799468683	 Fe hcp (Smith)
9	 2.226220668397958e-05	 232.3205096189832	 2.578284381598781e-14	 12.84097344491122	 665.60379945392	 Fe hcp (Smith)
10	 2.270966528616544e-05	 232.320509600116	 2.736896575993199e-14	 12.84097344469702	 665.6037994385576	 Fe hcp (Smith)
11	 2.316611746824422e-05	 232.3205095804827	 2.905266316779035e-14	 12.84097344447412	 665.6037994225716	 Fe hcp (Smith)
12	 2.363174408302275e-05	 232.3205095600524	 3.083993904392866e-14	 12.84097344424217	 665.6037994059363	 Fe hcp (Smith)
13	 2.410672954356355e-05	 232.3205095387924	 3.273716542325821e-14	 12.8409734440008	 665.6037993886257	 Fe hcp (Smith)
14	 2.459126195844017e-05	 232.3205095166693	 3.47511062972431e-14	 12.84097344374963	 665.6037993706123	 Fe hcp (Smith)
15	 2.508553321725039e-05	 232.3205094936479	 3.688894176886636e-14	 12.84097344348826	 665.6037993518673	 Fe hcp (Smith)
16	 2.558973906390059e-05	 232.3205094696918	 3.915829363886249e-14	 12.84097344321629	 665.6037993323613	 Fe hcp (Smith)
17	 2.610407917960416e-05	 232.3205094447629	 4.156725260282982e-14	 12.84097344293327	 665.6037993120633	 Fe hcp (Smith)
18	 2.662875725805376e-05	 232.3205094188219	 4.412440707944062e-14	 12.84097344263875	 665.6037992909411	 Fe hcp (Smith)
19	 2.716398108583428e-05	 232.3205093918276	 4.683887382763903e-14	 12.84097344233228	 665.6037992689613	 Fe hcp (Smith)
20	 2.770996262793558e-05	 232.3205093637372	 4.972033046578832e-14	 12.84097344201337	 665.6037992460891	 Fe hcp (Smith)
21	 2.826691810757411e-05	 232.3205093345063	 5.277904995328449e-14	 12.84097344168151	 665.6037992222882	 Fe hcp (Smith)
22	 2.883506809561295e-05	 232.3205093040886	 5.602593723546508e-14	 12.84097344133617	 665.603799197521	 Fe hcp (Smith)
23	 2.941463759570805e-05	 232.3205092724358	 5.94725681103716e-14	 12.84097344097681	 665.6037991717481	 Fe hcp (Smith)
24	 3.000585613348874e-05	 232.3205092394978	 6.313123049859778e-14	 12.84097344060286	 665.6037991449286	 Fe hcp (Smith)
25	 3.060895784773122e-05	 232.3205092052224	 6.701496825336573e-14	 12.84097344021373	 665.6037991170203	 Fe hcp (Smith)
26	 3.122418158515771e-05	 232.3205091695554	 7.113762767831781e-14	 12.84097343980879	 665.6037990879788	 Fe hcp (Smith)
27	 3.185177099297715e-05	 232.3205091324402	 7.551390688025576e-14	 12.84097343938742	 665.6037990577581	 Fe hcp (Smith)
28	 3.249197461329096e-05	 232.3205090938179	 8.015940815521943e-14	 12.84097343894893	 665.6037990263104	 Fe hcp (Smith)
29	 3.314504598427937e-05	 232.3205090536275	 8.509069363174027e-14	 12.84097343849264	 665.6037989935859	 Fe hcp (Smith)
