Index	 Radius (earth)	 P (GPa)	 M (earth)	 Density (g cm^-3)	 T (K)	 Phase
0	 0	 494.6934743557002	 0	 14.88863702292099	 6306.130178860092	 Fe hcp (Smith)
1	 1.835104606523593e-05	 494.6934739312286	 1.674424835069154e-14	 14.88863701965002	 6306.130177199649	 Fe hcp (Smith)
2	 1.835104606523593e-05	 494.6934739312286	 1.674424835069154e-14	 14.88863701965002	 6306.130177199649	 Fe hcp (Smith)
3	 1.877471375308797e-05	 494.6934739114029	 1.793094397171367e-14	 14.88863701949724	 6306.130177122095	 Fe hcp (Smith)
4	 1.918007774071219e-05	 494.6934738920103	 1.911763959273581e-14	 14.8886370193478	 6306.130177046235	 Fe hcp (Smith)
5	 1.956899541041232e-05	 494.693473873015	 2.030433521375794e-14	 14.88863701920142	 6306.130176971929	 Fe hcp (Smith)
6	 1.996274892816306e-05	 494.693473853395	 2.15548107753762e-14	 14.88863701905023	 6306.13017689518	 Fe hcp (Smith)
7	 2.036404331117715e-05	 494.6934738329971	 2.288101136074693e-14	 14.88863701889305	 6306.130176815388	 Fe hcp (Smith)
8	 2.077335649995901e-05	 494.6934738117735	 2.428864030772782e-14	 14.8886370187295	 6306.130176732366	 Fe hcp (Smith)
9	 2.119089074628296e-05	 494.6934737896885	 2.578284381557064e-14	 14.88863701855931	 6306.130176645974	 Fe hcp (Smith)
10	 2.161681646363683e-05	 494.6934737667067	 2.736896575951132e-14	 14.88863701838221	 6306.130176556074	 Fe hcp (Smith)
11	 2.205130296675978e-05	 494.6934737427919	 2.905266316972265e-14	 14.88863701819792	 6306.130176462524	 Fe hcp (Smith)
12	 2.24945224041996e-05	 494.693473717906	 3.083993904614313e-14	 14.88863701800616	 6306.130176365175	 Fe hcp (Smith)
13	 2.294665031508596e-05	 494.6934736920098	 3.273716542559816e-14	 14.8886370178066	 6306.130176263874	 Fe hcp (Smith)
14	 2.340786575503659e-05	 494.693473665062	 3.475110629651911e-14	 14.88863701759894	 6306.13017615846	 Fe hcp (Smith)
15	 2.387835138031177e-05	 494.6934736370201	 3.688894176564696e-14	 14.88863701738285	 6306.130176048766	 Fe hcp (Smith)
16	 2.435829351526859e-05	 494.6934736078396	 3.91582936345844e-14	 14.88863701715798	 6306.130175934618	 Fe hcp (Smith)
17	 2.484788223164637e-05	 494.6934735774743	 4.156725259766791e-14	 14.88863701692399	 6306.130175815835	 Fe hcp (Smith)
18	 2.534731142060585e-05	 494.6934735458761	 4.412440707226174e-14	 14.88863701668049	 6306.130175692229	 Fe hcp (Smith)
19	 2.585677886921096e-05	 494.6934735129948	 4.683887381563373e-14	 14.88863701642711	 6306.130175563605	 Fe hcp (Smith)
20	 2.637648634251761e-05	 494.6934734787785	 4.972033044795817e-14	 14.88863701616344	 6306.130175429757	 Fe hcp (Smith)
21	 2.690663965958528e-05	 494.6934734431729	 5.277904993484761e-14	 14.88863701588906	 6306.130175290476	 Fe hcp (Smith)
22	 2.744744877583927e-05	 494.6934734061217	 5.602593721625626e-14	 14.88863701560355	 6306.130175145538	 Fe hcp (Smith)
23	 2.799912786698608e-05	 494.693473367566	 5.947256808905048e-14	 14.88863701530644	 6306.130174994717	 Fe hcp (Smith)
24	 2.856189541388456e-05	 494.6934733274449	 6.313123047768646e-14	 14.88863701499726	 6306.130174837771	 Fe hcp (Smith)
25	 2.9135974288076e-05	 494.6934732856947	 6.701496823666264e-14	 14.88863701467554	 6306.130174674453	 Fe hcp (Smith)
26	 2.972159184160544e-05	 494.6934732422494	 7.113762766473493e-14	 14.88863701434075	 6306.130174504504	 Fe hcp (Smith)
27	 3.031897999517069e-05	 494.69347319704	 7.551390685684676e-14	 14.88863701399236	 6306.130174327654	 Fe hcp (Smith)
28	 3.092837533227928e-05	 494.693473149995	 8.015940812226464e-14	 14.88863701362983	 6306.130174143624	 Fe hcp (Smith)
29	 3.155001919143531e-05	 494.6934731010398	 8.509069359970162e-14	 14.88863701325258	 6306.130173952121	 Fe hcp (Smith)
30	 3.218415775937708e-05	 494.693473050097	 9.032534428469339e-14	 14.88863701286002	 6306.130173752843	 Fe hcp (Smith)
31	 3.283104217592513e-05	 494.6934729970856	 9.58820227695392e-14	 14.88863701245152	 6306.130173545474	 Fe hcp (Smith)
32	 3.349092862462601e-05	 494.6934729419219	 1.017805397070071e-13	 14.88863701202643	 6306.130173329684	 Fe hcp (Smith)
33	 3.416407843889566e-05	 494.6934728845184	 1.080419244767486e-13	 14.88863701158407	 6306.130173105134	 Fe hcp (Smith)
34	 3.485075820599507e-05	 494.6934728247841	 1.146885001651308e-13	 14.88863701112376	 6306.130172871465	 Fe hcp (Smith)
35	 3.555123987027658e-05	 494.6934727626244	 1.2174396312979e-13	 14.88863701064476	 6306.130172628309	 Fe hcp (Smith)
36	 3.626580084227989e-05	 494.6934726979409	 1.292334674945093e-13	 14.88863701014631	 6306.13017237528	 Fe hcp (Smith)
37	 3.699472410943977e-05	 494.693472630631	 1.371837148385205e-13	 14.88863700962762	 6306.130172111978	 Fe hcp (Smith)
38	 3.77382983449712e-05	 494.6934725605882	 1.456230493584355e-13	 14.88863700908787	 6306.130171837985	 Fe hcp (Smith)
39	 3.84968180262192e-05	 494.6934724877013	 1.545815589647088e-13	 14.8886370085262	 6306.130171552866	 Fe hcp (Smith)
40	 3.927058354938808e-05	 494.6934724118552	 1.640911825317479e-13	 14.88863700794173	 6306.130171256172	 Fe hcp (Smith)
41	 4.005990134767972e-05	 494.6934723329294	 1.741858237557419e-13	 14.88863700733353	 6306.13017094743	 Fe hcp (Smith)
42	 4.086508401322794e-05	 494.693472250799	 1.849014720339669e-13	 14.88863700670064	 6306.130170626153	 Fe hcp (Smith)
43	 4.168645042166114e-05	 494.6934721653339	 1.962763307843774e-13	 14.88863700604204	 6306.130170291831	 Fe hcp (Smith)
44	 4.252432585568064e-05	 494.6934720763986	 2.083509536101226e-13	 14.88863700535671	 6306.130169943935	 Fe hcp (Smith)
45	 4.337904213913796e-05	 494.6934719838524	 2.211683889553106e-13	 14.88863700464355	 6306.130169581912	 Fe hcp (Smith)
46	 4.42509377647196e-05	 494.6934718875484	 2.347743335310729e-13	 14.88863700390143	 6306.13016920519	 Fe hcp (Smith)
47	 4.51403580278288e-05	 494.6934717873342	 2.492172952288283e-13	 14.88863700312918	 6306.130168813173	 Fe hcp (Smith)
48	 4.604765516399702e-05	 494.693471683051	 2.645487660694924e-13	 14.88863700232557	 6306.130168405238	 Fe hcp (Smith)
49	 4.697318848803182e-05	 494.6934715745336	 2.808234057760346e-13	 14.88863700148934	 6306.13016798074	 Fe hcp (Smith)
50	 4.791732453891099e-05	 494.69347146161	 2.980992366928956e-13	 14.88863700061915	 6306.130167539007	 Fe hcp (Smith)
51	 4.888043722213172e-05	 494.6934713441016	 3.164378506002881e-13	 14.88863699971363	 6306.130167079337	 Fe hcp (Smith)
52	 4.986290795730497e-05	 494.6934712218219	 3.359046282889831e-13	 14.88863699877134	 6306.130166601004	 Fe hcp (Smith)
